id_inmueble,Superficie construida,Superficie útil,Habitaciones,Baños,Terraza,Balcón,Plaza de garaje,Estado,Armarios empotrados,Calefacción,Orientación,Calefacción individual,Consumo,Emisiones,Barrio,Distrito,Precio,Calefacción central,3
104566341,235.0,201.0,5 habitaciones,3 baños,Terraza y balcón,Terraza y balcón,,Segunda mano/buen estado,Armarios empotrados,Calefacción individual,Orientación este,,104 kWh/m² año,21 kg CO2/m² año,Barrio Sant Francesc,Distrito Ciutat Vella,850000,,
104737886,145.0,118.0,4 habitaciones,2 baños,,Balcón,,,,No dispone de calefacción,,,,,,Distrito Ciutat Vella,430000,,València
101160514,158.0,150.0,2 habitaciones,2 baños,Terraza y balcón,Terraza y balcón,Plaza de garaje por 65.000 € adicionales,Segunda mano/buen estado,Armarios empotrados,Calefacción individual,Orientación sur,,,,Barrio Sant Francesc,Distrito Ciutat Vella,710000,,
101335442,102.0,,3 habitaciones,,,Balcón,,Segunda mano/buen estado,Armarios empotrados,,"Orientación sur, este",,,,Barrio Malilla,Distrito Quatre Carreres,229000,,
104995916,80.0,,2 habitaciones,,,,,Segunda mano/buen estado,,,Orientación norte,,999 kWh/m² año,,Barrio L'Amistat,Distrito Algirós,160000,,
102404915,296.0,272.0,4 habitaciones,4 baños,,,Plaza de garaje por 36.000 € adicionales,Segunda mano/buen estado,Armarios empotrados,Calefacción individual,"Orientación sur, este",,,,Barrio Sant Francesc,Distrito Ciutat Vella,973000,,
103936252,156.0,150.0,5 habitaciones,,,,,,,No dispone de calefacción,,,,,Barrio La Creu Coberta,Distrito Jesús,205000,,
104939009,246.0,227.0,4 habitaciones,5 baños,Terraza y balcón,Terraza y balcón,Plaza de garaje incluida en el precio,Segunda mano/buen estado,Armarios empotrados,Calefacción individual,"Orientación este, oeste",,,,,Distrito L'Eixample,1290000,,València
104786476,96.0,90.0,3 habitaciones,,Terraza,,,Segunda mano/buen estado,,,,,,,Barrio Campanar,Distrito Campanar,215000,,
101140006,210.0,190.0,7 habitaciones,2 baños,,,,Segunda mano/buen estado,,No dispone de calefacción,"Orientación este, oeste",,,,Barrio El Mercat,Distrito Ciutat Vella,650000,,
104970063,48.0,,,,,Balcón,,Segunda mano/buen estado,,No dispone de calefacción,,,,,,Distrito L'Olivereta,64700,,València
102779180,54.0,,,,,,,Segunda mano/buen estado,Armarios empotrados,,,,,,Barrio El Pla del Remei,Distrito L'Eixample,235000,,
104566346,181.0,155.0,5 habitaciones,2 baños,,Balcón,,,Armarios empotrados,Calefacción individual,"Orientación este, oeste",,,,Barrio La Xerea,Distrito Ciutat Vella,730000,,
104719676,59.0,,2 habitaciones,,Terraza,,,,,Calefacción individual,"Orientación este, oeste",,77 kWh/m² año,11 kg CO2/m² año,,Distrito L'Eixample,220000,,València
102066037,100.0,,3 habitaciones,2 baños,Terraza y balcón,Terraza y balcón,,Segunda mano/buen estado,Armarios empotrados,Calefacción individual,Orientación sur,,,,Barrio Benicalap,Distrito Benicalap,175000,,
96696113,68.0,,2 habitaciones,,Terraza y balcón,Terraza y balcón,,Segunda mano/buen estado,Armarios empotrados,,,Eléctrica,,,Barrio La Seu,Distrito Ciutat Vella,300000,,
104635736,152.0,130.0,4 habitaciones,2 baños,,,Plaza de garaje incluida en el precio,Segunda mano/buen estado,,,,,,,Barrio Ciutat Universitària,Distrito El Pla del Real,398000,,
104565412,70.0,66.0,2 habitaciones,,Terraza y balcón,Terraza y balcón,,Segunda mano/buen estado,,No dispone de calefacción,"Orientación sur, este",,,,Barrio Albors,Distrito Camins al Grau,175000,,
104621856,129.0,95.0,3 habitaciones,2 baños,,,Plaza de garaje por 20.000 € adicionales,Segunda mano/buen estado,Armarios empotrados,Calefacción individual,Orientación este,,,,Barrio Playa de la Malvarrosa,Distrito Poblats Marítims,285000,,
103967390,143.0,82.0,3 habitaciones,2 baños,,,Plaza de garaje incluida en el precio,,,,,,,,Barrio Els Orriols,Distrito Rascanya,282000,,
104565511,135.0,127.0,3 habitaciones,2 baños,,,,Segunda mano/buen estado,,,"Orientación este, oeste",Gas natural,,,Barrio Arrancapins,Distrito Extramurs,410000,,
104565412,70.0,66.0,2 habitaciones,,Terraza y balcón,Terraza y balcón,,Segunda mano/buen estado,,No dispone de calefacción,"Orientación sur, este",,,,Barrio Albors,Distrito Camins al Grau,175000,,
104396595,80.0,75.0,2 habitaciones,,,Balcón,,Segunda mano/buen estado,,No dispone de calefacción,"Orientación sur, este, oeste",,50 kWh/m² año,60 kg CO2/m² año,Barrio La Llum,Distrito L'Olivereta,145000,,
103967390,143.0,82.0,3 habitaciones,2 baños,,,Plaza de garaje incluida en el precio,,,,,,,,Barrio Els Orriols,Distrito Rascanya,282000,,
82597967,115.0,100.0,2 habitaciones,2 baños,,,,Segunda mano/buen estado,Armarios empotrados,No dispone de calefacción,,,,,Barrio Russafa,Distrito L'Eixample,419000,,
98082011,390.0,350.0,6 habitaciones,5 baños,Terraza y balcón,Terraza y balcón,Plaza de garaje incluida en el precio,,Armarios empotrados,,Orientación oeste,Gas natural,,,Barrio Exposició,Distrito El Pla del Real,1300000,,
104565511,135.0,127.0,3 habitaciones,2 baños,,,,Segunda mano/buen estado,,,"Orientación este, oeste",Gas natural,,,Barrio Arrancapins,Distrito Extramurs,410000,,
104560341,89.0,80.0,3 habitaciones,,,Balcón,,Segunda mano/buen estado,Armarios empotrados,No dispone de calefacción,,,,,Barrio Torrefiel,Distrito Rascanya,139000,,
103967399,133.0,87.0,4 habitaciones,2 baños,,,Plaza de garaje incluida en el precio,,,,,,,,Barrio Els Orriols,Distrito Rascanya,310000,,
102889641,358.0,339.0,5 habitaciones,4 baños,Terraza y balcón,Terraza y balcón,Plaza de garaje incluida en el precio,Segunda mano/buen estado,Armarios empotrados,Calefacción individual,Orientación oeste,,,,Barrio Exposició,Distrito El Pla del Real,1700000,,
104572739,158.0,130.0,3 habitaciones,2 baños,,Balcón,,,Armarios empotrados,,Orientación sur,Gas natural,,,Barrio La Xerea,Distrito Ciutat Vella,490000,,
103393737,85.0,,2 habitaciones,,,Balcón,,Segunda mano/buen estado,Armarios empotrados,,,Eléctrica,91 kWh/m² año,17 kg CO2/m² año,,Distrito Rascanya,168000,,València
104769634,457.0,398.0,5 habitaciones,2 baños,Terraza y balcón,Terraza y balcón,Plaza de garaje incluida en el precio,Segunda mano/buen estado,Armarios empotrados,Calefacción individual,"Orientación este, oeste",,,,,Distrito L'Eixample,3200000,,València
104624111,150.0,149.0,2 habitaciones,3 baños,Terraza,,,Segunda mano/buen estado,Armarios empotrados,No dispone de calefacción,,,,,,Distrito Extramurs,670000,,València
104769342,99.0,,2 habitaciones,2 baños,Terraza y balcón,Terraza y balcón,,Segunda mano/buen estado,Armarios empotrados,,"Orientación este, oeste",Gas natural,,,,Distrito Ciutat Vella,399000,,València
102983301,70.0,,3 habitaciones,,Terraza,,,Segunda mano/buen estado,,No dispone de calefacción,,,,,,Distrito Extramurs,220000,,València
104930221,78.0,,3 habitaciones,2 baños,,Balcón,,Segunda mano/buen estado,,,"Orientación norte, sur, este, oeste",,,,Barrio Gran Vía,Distrito L'Eixample,400000,,
97922080,263.0,262.0,4 habitaciones,3 baños,Terraza y balcón,Terraza y balcón,,Segunda mano/buen estado,Armarios empotrados,,,,77 kWh/m² año,16 kg CO2/m² año,,Distrito Ciutat Vella,900000,Gas,València
104426827,150.0,,3 habitaciones,2 baños,,Balcón,,Segunda mano/buen estado,Armarios empotrados,No dispone de calefacción,,,,,,Distrito Poblats Marítims,480000,,València
104953122,107.0,,4 habitaciones,2 baños,,Balcón,,Segunda mano/buen estado,Armarios empotrados,,Orientación este,,,,,Distrito Quatre Carreres,230000,,València
104389402,239.0,225.0,3 habitaciones,4 baños,Terraza,,,Segunda mano/buen estado,Armarios empotrados,No dispone de calefacción,,,,,,Distrito La Saïdia,880000,,València
103697719,83.0,62.0,3 habitaciones,,Terraza y balcón,Terraza y balcón,,Segunda mano/buen estado,,,"Orientación este, oeste",Eléctrica,207 kWh/m² año,35 kg CO2/m² año,,Distrito Camins al Grau,299000,,València
104948730,182.0,171.0,5 habitaciones,2 baños,,Balcón,Plaza de garaje incluida en el precio,Segunda mano/buen estado,Armarios empotrados,Calefacción central,"Orientación sur, este",,,,Barrio Sant Pau,Distrito Campanar,550000,,
104419584,140.0,,3 habitaciones,2 baños,,Balcón,,Segunda mano/buen estado,Armarios empotrados,,,Gas natural,,,,Distrito Ciutat Vella,485000,,València
104999523,85.0,,3 habitaciones,,,,,Segunda mano/buen estado,,,"Orientación sur, este",,,,Barrio Nou Moles,Distrito L'Olivereta,187000,,
104844584,140.0,92.0,4 habitaciones,2 baños,Terraza,,,,,,,,,,Barrio La Punta,Distrito Quatre Carreres,360000,,
104844552,112.0,72.0,3 habitaciones,2 baños,Terraza,,,,,,,,,,Barrio La Punta,Distrito Quatre Carreres,330000,,
104395634,90.0,80.0,,,Terraza y balcón,Terraza y balcón,,Segunda mano/buen estado,,,"Orientación norte, sur",Bomba de frío/calor,,,Barrio Patraix,Distrito Patraix,229000,,
104397266,139.0,,4 habitaciones,2 baños,Terraza y balcón,Terraza y balcón,,Segunda mano/buen estado,,No dispone de calefacción,Orientación norte,,,,,Distrito L'Eixample,350000,,València
104560935,30.0,25.0,,,,,,Segunda mano/buen estado,,Calefacción individual,Orientación oeste,,,,Barrio El Cabanyal-El Canyamelar,Distrito Poblats Marítims,116500,,
104569034,188.0,126.0,3 habitaciones,2 baños,Terraza,,Plaza de garaje por 38.000 € adicionales,Segunda mano/buen estado,Armarios empotrados,Calefacción individual,Orientación sur,,,,,Distrito Ciutat Vella,612000,,València
101190715,200.0,199.0,4 habitaciones,2 baños,Terraza y balcón,Terraza y balcón,Plaza de garaje por 5.000 € adicionales,,Armarios empotrados,,,,,,Barrio La Petxina,Distrito Extramurs,399000,,
104243947,62.0,,,,,Balcón,,,Armarios empotrados,,"Orientación sur, oeste",,,,Barrio La Raiosa,Distrito Jesús,198000,,
103819343,118.0,110.0,4 habitaciones,2 baños,,Balcón,,,Armarios empotrados,No dispone de calefacción,Orientación sur,,,,Barrio Trinitat,Distrito La Saïdia,320000,,
104991904,50.0,,,,Terraza,,,Segunda mano/buen estado,Armarios empotrados,No dispone de calefacción,Orientación norte,,,,Barrio Tres Forques,Distrito L'Olivereta,59000,,
100653246,128.0,90.0,4 habitaciones,2 baños,Terraza,,Plaza de garaje incluida en el precio,,Armarios empotrados,,,,,,Barrio Nou Benicalap,Distrito Benicalap,474000,,
104502310,70.0,,3 habitaciones,,Terraza,,,Segunda mano/buen estado,,,,Eléctrica,,,Barrio Marxalenes,Distrito La Saïdia,175000,,
104110135,69.0,,2 habitaciones,,,,,Segunda mano/buen estado,Armarios empotrados,No dispone de calefacción,Orientación norte,,,,Barrio Beteró,Distrito Poblats Marítims,190000,,
104569034,188.0,126.0,3 habitaciones,2 baños,Terraza,,Plaza de garaje por 38.000 € adicionales,Segunda mano/buen estado,Armarios empotrados,Calefacción individual,Orientación sur,,,,,Distrito Ciutat Vella,612000,,València
99171117,342.0,301.0,7 habitaciones,3 baños,,,,,Armarios empotrados,,,Gas natural,,,,Distrito Ciutat Vella,765000,,València
104954122,82.0,73.0,3 habitaciones,,,Balcón,,Segunda mano/buen estado,Armarios empotrados,Calefacción individual,Orientación oeste,,,,,Distrito Algirós,240000,,València
104517127,90.0,,3 habitaciones,,,,,Segunda mano/buen estado,Armarios empotrados,No dispone de calefacción,Orientación norte,,,,Barrio Beteró,Distrito Poblats Marítims,210000,,
98999345,132.0,93.0,3 habitaciones,2 baños,Terraza,,Plaza de garaje incluida en el precio,,Armarios empotrados,,,,27 kWh/m² año,5 kg CO2/m² año,Barrio Nou Benicalap,Distrito Benicalap,483000,,
102139749,111.0,102.0,2 habitaciones,,,,,Segunda mano/buen estado,,,,Eléctrica,,,,Distrito Ciutat Vella,320000,,València
104617910,94.0,,3 habitaciones,2 baños,,,,Segunda mano/buen estado,Armarios empotrados,No dispone de calefacción,Orientación oeste,,,,Barrio Playa de la Malvarrosa,Distrito Poblats Marítims,285000,,
97924303,120.0,85.0,3 habitaciones,2 baños,Terraza,,Plaza de garaje incluida en el precio,,Armarios empotrados,,,,27 kWh/m² año,5 kg CO2/m² año,Barrio Nou Benicalap,Distrito Benicalap,463000,,
103550295,66.0,,2 habitaciones,,Terraza,,,Segunda mano/buen estado,,,,,,,Barrio La Fontsanta,Distrito L'Olivereta,100000,,
81860165,90.0,,3 habitaciones,2 baños,,Balcón,,Segunda mano/buen estado,Armarios empotrados,,"Orientación norte, este",Eléctrica,,,Barrio Playa de la Malvarrosa,Distrito Poblats Marítims,240000,,
104674614,134.0,92.0,4 habitaciones,2 baños,Terraza y balcón,Terraza y balcón,Plaza de garaje incluida en el precio,Segunda mano/buen estado,Armarios empotrados,Calefacción central,,,,,Barrio Nou Benicalap,Distrito Benicalap,577000,,
104934069,196.0,170.0,4 habitaciones,3 baños,,Balcón,Plaza de garaje incluida en el precio,Segunda mano/buen estado,,,"Orientación sur, este",Gas natural,,,Barrio El Pla del Remei,Distrito L'Eixample,820000,,
98951907,35.0,30.0,,,,,,Segunda mano/buen estado,,No dispone de calefacción,,,,,,Distrito Ciutat Vella,170000,,València
28239180,126.0,,3 habitaciones,2 baños,Terraza,,,Segunda mano/buen estado,,,,,,,,Distrito Camins al Grau,500000,,València
104762853,85.0,,2 habitaciones,,Terraza,,,Segunda mano/buen estado,Armarios empotrados,,Orientación sur,,,,Barrio Tormos,Distrito La Saïdia,215000,,
